"January","February","March","April","May","June","July","August","September","October","November","December"
1.93722130830809,1.21646349031662,2.11935121731696,1.71506649506643,1.21740940366516,3.35473745214735,2.79465750370819,2.51732094015833,0.739827310452455,1.19124463007435,3.08448841938429,0.44651781700743
2.99328293687371,2.51091310345695,3.31817809545599,1.96887867500666,0.333170795733627,0.449173951842487,1.90528632143406,2.42306428833085,0.573597684767069,3.01123574193472,3.71176344590629,0.301256558309187
0.994069060045291,3.21762605593289,3.44308055765009,1.51414111303988,1.28652675169627,3.1261661719895,0.652943920122412,3.15885851440937,2.31867639325632,0.602766647013343,3.09705549805359,3.54608127158981
1.2490150524019,2.30510924768834,2.24902621164524,1.86491191584415,1.49332417219877,2.11318162996674,2.22642451549673,3.90794404304831,0.961340636952293,3.75164229595469,0.779677562516623,2.78884795345702
3.74401638235168,2.21029363332494,2.8157023268506,0.519281277162494,1.30481605588514,1.11296845602903,2.02410929804503,2.12231655097747,2.57982434902757,2.17025122895527,2.59863835820723,2.78679264294034
0.812399908542617,2.46886596550588,1.26539219362214,3.2563691256856,2.54160781116491,1.36914121529081,0.195298783076005,2.95211161350941,4.24926360996741,1.23395715414167,1.92707747054669,1.16478714883752
1.58302958228032,0.0956574277375677,2.25815327802218,2.20904164990957,1.41892270363792,2.3811074515844,2.74059649052462,3.38124150400815,1.65269902562323,3.13405289999543,1.71094740440191,3.22123013711579
0.430179840635586,3.23840228464858,1.14713923117729,2.31315678959013,2.43083205102061,4.11341220227938,1.63422260634621,1.31147507828637,2.35892132839894,2.49951248833466,1.72902352405773,1.46053139587013
1.71952596474664,2.39099889145765,2.21564875855347,3.07514823866383,2.67170118958658,2.44805652577453,2.93804375014048,1.9952744350005,1.43765886643748,1.71958167466439,3.47780655842774,3.30549596232861
1.41467303611458,1.96880108325314,1.2907897879976,1.71337482542958,1.56649269449632,2.68212941156145,1.7353586917494,2.70690665355809,1.03994968767041,2.07877451875408,1.1290592450804,2.9692288726529
